,,,,,,,,,
id,N° capteur,N° place,PORT,Check Marion,,Check JL,,,
592,592,,STOCK VOITURE,,,,,,
593,593,Stock Bourgenay,BOURGENAY,0,,,,,
594,594,G-39,BOURGENAY,ok,,,,,
595,595,A-42,BOURGENAY,ok,,,,,
596,596,D-35,BOURGENAY,ok,,,,,
597,597,Stock Bourgenay,BOURGENAY,0,,,,,
598,598,F-27,BOURGENAY,ok,,,,,
599,599,C-63,BOURGENAY,Normalement vide,,,,,
600,600,D-53,BOURGENAY,ok,,,,,
601,601,F-21,BOURGENAY,ok,,,,,
602,602,A-48,BOURGENAY,"Attention baisser puissance, bateau voisin détecté",,,,,
603,603,A-20,BOURGENAY,ok,,,,,
604,604,E-17,BOURGENAY,ok,,,,,
605,605,H-07,BOURGENAY,Normalment vide,,,,,
606,606,D-60,BOURGENAY,ok,,,,,
607,607,C-53,BOURGENAY,ok,,,,,
608,608,,STOCK VOITURE,,,,,,
609,609,,ANTIBES GALLICE,,,,,,
610,610,,ANTIBES GALLICE,,,,,,
611,611,,ANTIBES GALLICE,,,,,,
612,612,,ANTIBES GALLICE,,,,,,
613,613,,ANTIBES GALLICE,,,,,,
614,614,,ANTIBES GALLICE,,,,,,
615,615,,ANTIBES GALLICE,,,,,,
616,616,,ANTIBES GALLICE,,,,,,
617,617,,ANTIBES GALLICE,,,,,,
618,618,,,,,,,,
619,619,,ANTIBES GALLICE,,,,,,
620,620,,STOCK VOITURE,,,,,,
621,621,,,,,,,,
622,622,,,,,,,,
623,623,,,,,,,,
624,624,,,,,,,,
625,625,,,,,,,,
626,626,,,,,,,,
627,627,,,,,,,,
628,628,,STOCK VOITURE,,,,,,
629,629,,,,,,,,
630,630,,,,,,,,
631,631,,,,,,,,
632,632,,,,,,,,
633,633,,,,,,,,
634,634,,,,,,,,
635,635,,,,,,,,
636,636,,,,,,,,
637,637,,,,,,,,
638,638,,,,,,,,
639,639,,,,,,,,
640,640,,,,,,,,
641,641,,,,,,,,
642,642,,,,,,,,
643,643,,,,,,,,
644,644,,,,,,,,
645,645,,,,,,,,
646,646,,,,,,,,
647,647,,,,,,,,
648,648,,,,,,,,
649,649,,,,,,,,
650,650,,,,,,,,
651,651,,,,,,,,
652,652,,,,,,,,
653,653,,,,,,,,
654,654,,,,,,,,
655,655,,,,,,,,
656,656,,,,,,,,
657,657,,,,,,,,
658,658,,,,,,,,
659,659,,,,,,,,
660,660,,,,,,,,
661,661,,,,,,,,
662,662,,,,,,,,
663,663,,,,,,,,
664,664,,,,,,,,
665,665,,,,,,,,
666,666,,,,,,,,
667,667,,,,,,,,
668,668,,,,,,,,
669,669,,,,,,,,
670,670,,,,,,,,
671,671,,,,,,,,
672,672,,,,,,,,
673,673,,,,,,,,
674,674,,,,,,,,
675,675,,,,,,,,
676,676,,,,,,,,
677,677,,,,,,,,
678,678,,,,,,,,
679,679,,,,,,,,
680,680,,,,,,,,
681,681,,,,,,,,
682,682,,,,,,,,
683,683,,,,,,,,
684,684,,,,,,,,
685,685,,,,,,,,
686,686,,,,,,,,
687,687,,,,,,,,
688,688,,,,,,,,
689,689,,,,,,,,
690,690,,,,,,,,
691,691,,,,,,,,
692,692,,,,,,,,
693,693,,,,,,,,
694,694,,,,,,,,
695,695,,,,,,,,
696,696,,,,,,,,
697,697,,,,,,,,
698,698,,,,,,,,
699,699,,,,,,,,
700,700,,,,,,,,
